,From,To,Booking_date,Journey_date,Airline,Code,Departure,Arrival,Duration,Stops,Price
40,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-727,20:30,"20:20
+1D",23h 50m,1 stop,"₹18,342"
41,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-727,20:30,"23:30
+1D",27h 0m,1 stop,"₹18,342"
42,Delhi,Mumbai,2022-06-23,2022-06-24,Air Asia,I5-764,04:25,06:35,2h 10m,non-stop,"₹8,579"
43,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-975,05:55,07:55,2h 0m,non-stop,"₹8,578"
44,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-530,06:00,08:10,2h 10m,non-stop,"₹8,579"
45,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-5023,06:30,08:35,2h 5m,non-stop,"₹8,579"
46,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-887,07:00,09:05,2h 5m,non-stop,"₹8,580"
47,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-6814,07:20,09:25,2h 5m,non-stop,"₹8,579"
48,Delhi,Mumbai,2022-06-23,2022-06-24,SpiceJet,SG-8701,07:20,09:35,2h 15m,non-stop,"₹8,579"
49,Delhi,Mumbai,2022-06-23,2022-06-24,Air India,AI-665,08:00,10:10,2h 10m,non-stop,"₹8,580"
50,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2129,08:00,10:20,2h 20m,non-stop,"₹8,579"
51,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-6278,08:45,11:00,2h 15m,non-stop,"₹8,579"
52,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-927,09:30,11:35,2h 5m,non-stop,"₹8,578"
53,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-5328,09:35,12:00,2h 25m,non-stop,"₹8,579"
54,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-995,10:20,12:35,2h 15m,non-stop,"₹8,578"
55,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-5342,10:45,12:50,2h 5m,non-stop,"₹8,579"
56,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-338,10:55,13:10,2h 15m,non-stop,"₹8,579"
57,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-945,11:40,14:00,2h 20m,non-stop,"₹8,578"
58,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2138,11:55,13:55,2h 0m,non-stop,"₹8,579"
59,Delhi,Mumbai,2022-06-23,2022-06-24,Vistara,UK-993,12:50,15:00,2h 10m,non-stop,"₹8,578"
60,Delhi,Mumbai,2022-06-23,2022-06-24,GO FIRST,G8-336,14:00,16:10,2h 10m,non-stop,"₹8,579"
61,Delhi,Mumbai,2022-06-23,2022-06-24,IndiGo,6E-2176,14:10,16:20,2h 10m,non-stop,"₹8,579"
